ID,Total,Paid,Due,"Payment Status",Date,Status
105,"1,211.86",0.00,"1,211.86",Unpaid,2023-06-08,Completed
104,960.00,960.00,0.00,Paid,2023-06-08,Completed
103,480.00,480.00,0.00,Paid,2023-06-08,Completed
102,379.06,379.06,0.00,Paid,2023-06-08,Completed
100,261.96,261.96,0.00,Paid,2023-06-07,Completed
99,261.96,261.96,0.00,Paid,2023-06-07,Completed
98,103.84,33.00,70.84,Partial,2023-06-07,Completed
97,261.96,0.00,261.96,Unpaid,2023-06-07,Completed
96,261.96,0.00,261.96,Unpaid,2023-06-07,Completed
95,"2,619.60",0.00,"2,619.60",Unpaid,2023-06-07,Completed
94,261.96,120.00,141.96,Partial,2023-06-07,Completed
93,872.33,872.33,0.00,Paid,2023-06-07,Completed
92,261.96,261.96,0.00,Paid,2023-06-07,Completed
91,480.00,480.00,0.00,Paid,2023-06-07,Completed
90,25.96,25.96,0.00,Paid,2023-06-07,Completed
89,25.96,25.96,0.00,Paid,2023-06-07,Completed
88,25.96,25.96,0.00,Paid,2023-06-07,Completed
87,0.00,0.00,0.00,Paid,2023-06-07,Completed
86,25.96,25.96,0.00,Paid,2023-06-07,Completed
85,25.96,25.96,0.00,Paid,2023-06-07,Completed
84,12.98,12.98,0.00,Paid,2023-06-07,Completed
83,12.98,12.98,0.00,Paid,2023-06-07,Completed
82,12.98,12.98,0.00,Paid,2023-06-07,Completed
81,12.98,12.98,0.00,Paid,2023-06-07,Completed
80,12.98,12.98,0.00,Paid,2023-06-07,Completed
79,12.98,12.98,0.00,Paid,2023-06-07,Completed
78,12.98,12.98,0.00,Paid,2023-06-07,Completed
77,261.96,261.96,0.00,Paid,2023-06-07,Completed
76,80.00,80.00,0.00,Paid,2023-06-07,Completed
75,25.96,25.96,0.00,Paid,2023-06-07,Completed
74,25.96,25.96,0.00,Paid,2023-06-07,Completed
73,25.96,25.96,0.00,Paid,2023-06-07,Completed
72,25.96,25.96,0.00,Paid,2023-06-07,Completed
71,261.96,261.96,0.00,Paid,2023-06-07,Completed
70,261.96,261.96,0.00,Paid,2023-06-07,Completed
69,261.96,261.96,0.00,Paid,2023-06-07,Completed
68,261.96,261.96,0.00,Paid,2023-06-07,Completed
67,25.96,25.96,0.00,Paid,2023-06-07,Completed
66,25.96,25.96,0.00,Paid,2023-06-07,Completed
65,25.96,25.96,0.00,Paid,2023-06-07,Completed
64,0.00,0.00,0.00,Paid,2023-06-07,Completed
63,"2,639.19","2,639.19",0.00,Paid,2023-06-07,Completed
62,573.98,573.98,0.00,Paid,2023-06-06,Completed
61,"2,500.00","2,500.00",0.00,Paid,2023-06-06,Completed
60,"2,250.00","2,250.00",0.00,Paid,2023-06-06,Completed
59,"2,500.00","2,500.00",0.00,Paid,2023-06-06,Completed
58,832.10,832.10,0.00,Paid,2023-06-06,Completed
